	Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
1	15434	1	Picture	0;11;localize	0	11	localize	160	0	1	203502	8	0	next	other	0
2	15434	1	Response	0	NA	NA	NA	203374	203213	1	NA	NA	NA	NA	NA	NA
3	15434	2	Picture	0;111;blockstart	0	111	blockstart	203662	0	8	167	8	0	next	other	0
4	15434	3	Picture	block_tar_pic	block_tar_pic	NA	NA	203830	0	1	50501	1	0	next	other	0
5	15434	3	Sound	block_tar_sound	block_tar_sound	NA	NA	203863	33	274	NA	NA	0	NA	other	0
6	15434	5	Picture	trial_start	trial_start	NA	NA	259497	0	1	667	7	0	next	other	0
7	15434	5	Picture	1; 30; P; pictures//nontarget//tray.jpeg	1	30	P	260164	667	7	24834	7	580	next	miss	0
8	15434	5	Sound	1; 0; P; sounds//tracer.wav	1	0	P	260167	670	1	NA	NA	670	NA	hit	9
9	15434	5	Response	21	NA	NA	NA	275809	16312	1	NA	NA	NA	NA	NA	NA
10	15434	7	Picture	trial_start	trial_start	NA	NA	290164	0	1	2667	7	0	next	other	0
11	15434	7	Sound	2; 45; C; sounds//disc.wav	2	45	C	290834	670	2	NA	NA	670	NA	hit	13
12	15434	7	Picture	2; 40; C; pictures//nontarget//frisbee.png	2	40	C	292831	2667	7	23667	7	2580	next	miss	0
13	15434	7	Response	21	NA	NA	NA	310998	20833	1	NA	NA	NA	NA	NA	NA
14	15434	9	Picture	trial_start	trial_start	NA	NA	321665	0	1	667	7	0	next	other	0
15	15434	9	Picture	3; 50; No; pictures//nontarget//chick.jpeg	3	50	No	322331	667	7	25834	7	580	next	miss	0
16	15434	9	Sound	3; 0; No; sounds//empty.wav	3	0	No	322335	670	2	NA	NA	670	NA	hit	17
17	15434	9	Response	21	NA	NA	NA	339288	17623	1	NA	NA	NA	NA	NA	NA
18	15434	11	Picture	trial_start	trial_start	NA	NA	353332	0	1	2667	7	0	next	other	0
19	15434	11	Sound	4; 45; C; sounds//chipmunk.wav	4	45	C	354002	670	1	NA	NA	670	NA	hit	21
20	15434	11	Picture	4; 40; C; pictures//target//squirrel.jpg	4	40	C	355998	2667	7	22834	7	2580	next	miss	0
21	15434	11	Response	11	NA	NA	NA	375547	22215	1	NA	NA	NA	NA	NA	NA
22	15434	13	Picture	trial_start	trial_start	NA	NA	383999	0	1	2667	7	0	next	other	0
23	15434	13	Sound	5; 25; UN_200; sounds//stadium.wav	5	25	UN_200	384669	670	1	NA	NA	670	NA	incorrect	25
24	15434	13	Picture	5; 20; UN_200; pictures//target//tail.jpeg	5	20	UN_200	386666	2667	7	22834	7	2580	next	miss	0
25	15434	13	Response	2	NA	NA	NA	404376	20377	1	NA	NA	NA	NA	NA	NA
26	15434	15	Picture	trial_start	trial_start	NA	NA	414666	0	1	667	7	0	next	other	0
27	15434	15	Picture	6; 10; UN_0; pictures//nontarget//plug.jpg	6	10	UN_0	415333	667	7	25667	7	580	next	miss	0
28	15434	15	Sound	6; 0; UN_0; sounds//oil.wav	6	0	UN_0	415336	670	2	NA	NA	670	NA	hit	29
29	15434	15	Response	21	NA	NA	NA	437736	23070	1	NA	NA	NA	NA	NA	NA
30	15434	17	Picture	trial_start	trial_start	NA	NA	446166	0	1	666	7	0	next	other	0
31	15434	17	Picture	7; 30; P; pictures//nontarget//sandwich.jpg	7	30	P	446833	666	7	24834	7	580	next	miss	0
32	15434	17	Sound	7; 0; P; sounds//sanity.wav	7	0	P	446836	670	2	NA	NA	670	NA	hit	33
33	15434	17	Response	21	NA	NA	NA	459025	12859	1	NA	NA	NA	NA	NA	NA
34	15434	19	Picture	trial_start	trial_start	NA	NA	476834	0	1	2667	7	0	next	other	0
35	15434	19	Sound	8; 45; C; sounds//torch.wav	8	45	C	477504	670	2	NA	NA	670	NA	incorrect	37
36	15434	19	Picture	8; 40; C; pictures//target//candle.jpg	8	40	C	479500	2667	7	25500	7	2580	next	miss	0
37	15434	19	Response	2	NA	NA	NA	498325	21492	1	NA	NA	NA	NA	NA	NA
38	15434	21	Picture	trial_start	trial_start	NA	NA	510167	0	1	667	7	0	next	other	0
39	15434	21	Picture	9; 50; No; pictures//nontarget//watch.jpeg	9	50	No	510834	667	7	25334	7	580	next	miss	0
40	15434	21	Sound	9; 0; No; sounds//empty.wav	9	0	No	510837	670	2	NA	NA	670	NA	hit	41
41	15434	21	Response	21	NA	NA	NA	529337	19170	1	NA	NA	NA	NA	NA	NA
42	15434	23	Picture	trial_start	trial_start	NA	NA	541334	0	1	667	7	0	next	other	0
43	15434	23	Picture	10; 10; UN_0; pictures//target//windmill.jpg	10	10	UN_0	542001	667	7	25000	7	580	next	miss	0
44	15434	23	Sound	10; 0; UN_0; sounds//hive.wav	10	0	UN_0	542004	670	2	NA	NA	670	NA	hit	45
45	15434	23	Response	11	NA	NA	NA	563754	22420	1	NA	NA	NA	NA	NA	NA
46	15434	25	Picture	trial_start	trial_start	NA	NA	572168	0	1	667	7	0	next	other	0
47	15434	25	Picture	11; 10; UN_0; pictures//nontarget//shelf.jpg	11	10	UN_0	572835	667	7	25167	7	580	next	miss	0
48	15434	25	Sound	11; 0; UN_0; sounds//palace.wav	11	0	UN_0	572838	670	1	NA	NA	670	NA	hit	49
49	15434	25	Response	21	NA	NA	NA	596295	24127	1	NA	NA	NA	NA	NA	NA
50	15434	27	Picture	trial_start	trial_start	NA	NA	603168	0	1	2667	7	0	next	other	0
51	15434	27	Sound	12; 25; UN_200; sounds//twin.wav	12	25	UN_200	603838	670	1	NA	NA	670	NA	hit	53
52	15434	27	Picture	12; 20; UN_200; pictures//nontarget//butterfly.jpg	12	20	UN_200	605835	2667	7	22834	7	2580	next	miss	0
53	15434	27	Response	21	NA	NA	NA	619822	16654	1	NA	NA	NA	NA	NA	NA
54	15434	29	Picture	trial_start	trial_start	NA	NA	633836	0	1	667	7	0	next	other	0
55	15434	29	Picture	13; 50; No; pictures//target//eggshell.jpeg	13	50	No	634502	667	7	26167	7	580	next	miss	0
56	15434	29	Sound	13; 0; No; sounds//empty.wav	13	0	No	634506	670	1	NA	NA	670	NA	hit	57
57	15434	29	Response	11	NA	NA	NA	652003	18167	1	NA	NA	NA	NA	NA	NA
58	15434	31	Picture	trial_start	trial_start	NA	NA	665836	0	1	2666	8	0	next	other	0
59	15434	31	Sound	14; 45; C; sounds//ribbon.wav	14	45	C	666506	670	2	NA	NA	670	NA	incorrect	61
60	15434	31	Picture	14; 40; C; pictures//target//medal.jpg	14	40	C	668502	2666	8	24334	8	2580	next	miss	0
